model,accuracy,precision,recall,f1
_give_model_00,0.6418079096045197,0.6176470588235294,0.6853146853146853,0.6497237569060773
_give_model_10,0.6587570621468927,0.6223506743737958,0.752913752913753,0.6814345991561181
_give_model_50000,0.6632768361581921,0.6445916114790287,0.6806526806526807,0.6621315192743764
_give_model_30,0.5084745762711864,0.49475524475524474,0.6596736596736597,0.5654345654345654
_give_model_61,0.6700564971751413,0.6448202959830867,0.710955710955711,0.6762749445676275
_give_model_50001,0.6542372881355932,0.6294736842105263,0.696969696969697,0.6615044247787611
_give_model_20,0.6384180790960452,0.6070726915520629,0.7202797202797203,0.6588486140724947
_give_model_50,0.5107344632768361,0.4970674486803519,0.7902097902097902,0.6102610261026102
_give_model_40,0.5514124293785311,0.5222222222222223,0.8764568764568764,0.6544821583986075
_give_model_41,0.4847457627118644,0.4847457627118644,1.0,0.6529680365296804
_give_model_60,0.6734463276836158,0.648936170212766,0.710955710955711,0.6785317018909899
