Tweet_index	Tweet_text	Label
1	sweet united nations video. just in time for christmas. # imagine * # no religion * url	1
2	 @ username @  we are rumored to have talked to erv's agent. and the angels asked about ed escobar. that is hardly nothing    ;)	1
3	hey there! nice to see you minnesota/nd winter weather	1
4	 number  episodes left i am dying over here	0
5	i cannot breathe! was chosen as the most notable quote of the year in an annual list released by a yale university librarian	1
6	you are never too old for footie pajamas.  url 	0
7	nothing makes me happier then getting on the highway and seeing break lights light up like a christmas tree.	1
8	 time  an opening my first beer now going to be a long night/day	0
9	 @ username @  do you think you would support a guy who knocked out your daughter? rice does not deserve support.	0
10	 @ username @  you are not allowed to open that until christmas day!	0
11	oh, thank god - our entire office email system is down. the day of a big event. santa, you know just what to get me for xmas.	1
12	but instead, i am scrolling through facebook, instagram, and twitter for hours on end, accomplishing nothing.	0
13	 @ username @   emote pouting face no he bloody is not i was upstairs getting changed !	0
14	cold or warmth both suffuse one's cheeks with pink (colour/tone) . do you understand the underlying difference & its texture?	0
15	just great when you are mobile bill arrives by text	1
16	crushes are great until you realize they will never be interested in you.  :p	1
17	buffalo sports media is smarter than all of us. where else can you get the quality insight offered by harrington and busgaglia.	1
18	i guess my cat also lost  number  pounds when she went to the vet after i have been feeding her a few times a day.  #eating #food   #workingout	0
19	 @ username @   @ username @  trading a sp for a defense-only ss? brilliant trade.	1
20	but  @ username @  was trying to find us, and my battery died. guess how he found us? yes, that bastard wand! !!!!!	1
21	 @ username @  please do.i need the second hand embarrassment so desperatly on my phone	1
22	i never cared for beyonce, bc i could never get a sense of who she was. her interviews lacked depth.  @ username @  tho.this girl got it.	0
23	 @ username @  time to hit the books then	1
24	@ username @ thx number flw! flwthemusic @ username @ @ username @ we r # ele kt rik bloom * # ele kt rik fantasy * # i want  number  drift * # e lev  number  the underground *	0
25	love these cold winter mornings  emote grimacing face best feeling everrrrrrr !	1
26	amazingly url is not owned by # bhp * they are going to have to shell out some decent money for it. # bhp bill it on * # south  number  *	0
27	wish she could have told me herself. @ username @ # nicole scherzinger * # one love * # my fa v * # my queen * emote heavy black heart️ emote heavy black heart️ url	0
28	the rain has made extra extra lazy emote smiling face with open mouth and cold sweat	0
29	i was doing great with this summary of my year until i got to june  number th, and the weekend of @ username @ 's birthday. # river trip * # group chat *	0
30	see, that might show up on a background check, and you would be denied its a catch  number  we have the right to self protection  @ username @ 	0
31	smh never knew something could be  number % halal.been muslim my whole life but somehow i have learned something new i guess	1
32	a wonderful day of starting work at  number am	1
33	i feel like whole life is about waiting waiting and waiting	0
34	 @ username @  lol  emote grinning face with smiling eyes. will let my kids know when they get up in the morning. thanks for the tip	0
35	@ username @ you guys sure screwed this up royally. i am happy for lester, the brain trust over there sucks. # nice job * # lester to chicago *	1
36	# aussie * # gunman * # was * # on * terrorist # watch * # list * pm # says * sydney – the gunman who took  number  hostages in sydney. url	0
37	twig is now  sprig — number  sec limit on new social video platform # tech talk * # editors pick * # silly vine * # tr * url	1
38	 @ username @  and what will that achieve? seriously?to be fired.all the guys who had the balls to call them out are gone.	0
39	yay for another work at  number am day  emote neutral face	1
40	physical therapy at  number  am is just what i want to be doing with my friday # i want to sleep *	1
41	omg @ username @ did not tell @ username @ he was in town emote face screaming in fear # true friend *	1
42	i thought what we had was real, how could you be fine? coz i am not fine at all oh wait. fixed the caps lock ^.^ # laugh now * .o.	1
43	hahahaha!! # hypocrisy *  mt @ username @ : katie hopkins calls russell brand a bully.: url  	1
44	that moment when you have so much stuff to do but you open @ username @ . # productivity * # tumblr *	1
45	lol! i m enjoying it emote two women holding hands # talks * # crazy ness * # she never left * sleepy!! emote white smiling face	0
46	luv this	1
47	: when some naturopaths sell  aromatic  herbs the way apothecaries sell noxious poisons. # natur o path apothecary * # herb poison *	1
48	@ username @ : goal of the season  number : goal  number . jon sammels # arsenal * vs # manu td * url @ username @ @ username @	0
49	really, what else can a fish be besides a fish?  @ username @   @ username @   @ username @   @ username @ 	0
50	 @ username @  i think it is a safe bet it will not fit the crime.	0
51	it will be impossible for me to be late if i start to dress up right now. # studing * # university * # lazy *	1
52	when you are already running late and then your car will not start <<< # fantastic friday *	1
53	i decided to become my own boss to have more free time. now i have no time left whatsoever.	1
54	loyalty vs. self protection loyalty vs. self protection loyalty vs. self protection loyalty vs. self protection	0
55	american kids starting playing and now i am super missing # summer  number  k  number  * # kenny chesney *	0
56	@ username @ do not know how#monsanto # among  number  most sustainable cos in the world sure all parameters are measured#net positive?	0
57	none of the big, disruptive innovations in our lives have come out of brainstorming. -bruce nussbaum  url 	0
58	that way people get to understand disabilities and not stare at us funny wen we out and about#idpwd#disability	0
59	 @ username @   @ username @  shit! i better shut my stupid girly mouth because i am so concerned about what men might think of me.	1
60	why does my tongue feel it necessary to try and touch the high speed tool my dentist has put in my mouth?	0
61	tell me the # quintessential * # aussie * now is not a govt paid job & then have the hyde to buy overseas online and pay no gst . mmm # sad but true *	0
62	 @ username @   dirk's got a lot of moves i am trying to steal.  - kevin durant on his one-legged fadeway	0
63	about once a yr i get a little nutty and reach for the orange marmalade. # living on the edge * url	1
64	rogers, that smile just so accurately captures my reaction when i receive an extra high phone bill!    url 	1
65	whatever happened to the guano apes? did they ever make it  big in japan ? 	1
66	bmw i number  sexy az hell but too slow for the dinero  number . number  in the quarter mile slow # fan * of the design feeling the. url	0
67	let your humility guard your pride . vanity should not be allowed to be with such a delicate thing.	0
68	whenever i get sad about how things are going now, i just think of how awesome the future looks to be. # second semester * # drum corps * # college *	0
69	i asked god to protect me from my enemies . shortly after i started losing friends emote flushed face emote hundred points symbol or # na ah *	1
70	just delivered @ username @ # cro nuts * to @ username @ hmmm its for a customer i hope!!! url	1
71	such . you still have to # praise him * ;)	1
72	hey heyy!!!i.want to be a rockstar # vs coca m * hero # v so cam * # hero * # spiderman * url	0
73	@ username @ : . @ username @ awk moment when i tweeted first # fake fan * !!!!!	1
74	waa mockingjay part  number  tahon depan meh  number  nov  number  wtvr night at the museum  number  # must watch b  number  december ends sobs sobs * url	0
75	 @ username @   @ username @   @ username @   @ username @   @ username @   nice to see the ambulance service is so important to our mps	1
76	i love finals week! # just kidding * # stressed *	1
77	 @ username @  fucking copycat, although you are name is mint and the act we share it is probably a because for alcohol filled celebration!!!	0
78	literally cried when i woke up because i know what this day has in store for me # the start of tech week * ready # just shoot me know *	0
79	 @ username @  because i disagree w/ you? trading three picks for one when you have glaring holes at numerous positions is ass-backwards.	0
80	. @ username @  . @ username @  oh that makes it all better!!!	1
81	why did not i start watching the tudors earlier? # i love it *	0
82	@ username @ url # christmas * # gift * get started at making money in social media @ url	0
83	do not knw how to react everytime sum number  says me being in a wheelchair  inspires  them! i am just living they same you are dude	0
84	get aht a tahn! the made in pgh gift guide  url  via  @ username @ 	0
85	on my lunch break so sleepy emote sleeping face	0
86	# work trains the grind london business my happy face * url	1
87	dude said i better think hard , so he can take me to cheddars lmao !	1
88	my # christmas * ritual.part one. # how the grinch stole christmas * url	0
89	overcast at creso. # today im loving * # beach walk * # crescent head * url	0
90	 number  cannot end fast enough! stupid dead battery.	0
91	not even  number am and i can already see this is going to be a wonderful day # need more coffee *	1
92	i have an idea, how about  number  operators do not ever describe race?  and police have to wear color blind glasses?  	1
93	 @ username @   but russell is a good christian fella, he would not do that.	1
94	apparently my youth group thinks  are you kidding me?  is my default expression--or  nomal face.  # are you kidding me * url	0
95	@ username @ # psa * hey jay, i tuned in when you said  why all the cocaine talk today.after tweeting coke joke saw it is escobar's  number th	1
96	interviewed a turkey & here's what he had to say url # thanksgiving *	0
97	planned on an early night last night. oh yaa course that happened. # got in t erupted *	1
98	 @ username @  your last retweet though	1
