Tweet_index	Label	Tweet_text
1	1	sweet united nations video. just in time for christmas. # imagine * # no religion *
2	1	 @ username @  we are rumored to have talked to erv's agent... and the angels asked about ed escobar... that is hardly nothing    ;)
3	1	hey there! nice to see you minnesota/nd winter weather
4	0	 number  episodes left i am dying over here
5	1	i cannot breathe! was chosen as the most notable quote of the year in an annual list released by a yale university librarian
6	0	you are never too old for footie pajamas.
7	1	nothing makes me happier then getting on the highway and seeing break lights light up like a christmas tree..
8	0	 time  an opening my first beer now going to be a long night/day
9	0	 @ username @  do you think you would support a guy who knocked out your daughter? rice does not deserve support.
10	0	 @ username @  you are not allowed to open that until christmas day!
11	1	oh, thank god - our entire office email system is down... the day of a big event. santa, you know just what to get me for xmas.
12	0	but instead, i am scrolling through facebook, instagram, and twitter for hours on end, accomplishing nothing.
13	0	 @ username @  :pouting_face: no he bloody is not i was upstairs getting changed !
14	0	cold or warmth both suffuse one's cheeks with pink (colour/tone) ... do you understand the underlying difference & its texture?
15	1	just great when you are mobile bill arrives by text
