Tweet_index	Label	Tweet_text
1	1	sweet united nations video. just in time for christmas. # imagine * # no religion *
2	1	 @ username @  we are rumored to have talked to erv's agent... and the angels asked about ed escobar... that is hardly nothing    ;)
3	1	hey there! nice to see you minnesota/nd winter weather 
4	0	 number  episodes left i am dying over here
5	1	i cannot breathe! was chosen as the most notable quote of the year in an annual list released by a yale university librarian 
6	0	you are never too old for footie pajamas. 
7	1	nothing makes me happier then getting on the highway and seeing break lights light up like a christmas tree.. 
8	0	 time  an opening my first beer now going to be a long night/day
9	0	 @ username @  do you think you would support a guy who knocked out your daughter? rice does not deserve support.
10	0	 @ username @  you are not allowed to open that until christmas day!
11	1	oh, thank god - our entire office email system is down... the day of a big event. santa, you know just what to get me for xmas. 
12	0	but instead, i am scrolling through facebook, instagram, and twitter for hours on end, accomplishing nothing. 
13	0	 @ username @  :pouting_face: no he bloody is not i was upstairs getting changed !
14	0	cold or warmth both suffuse one's cheeks with pink (colour/tone) ... do you understand the underlying difference & its texture?
15	1	just great when you are mobile bill arrives by text 
16	1	crushes are great until you realize they will never be interested in you.  :p
17	1	buffalo sports media is smarter than all of us. where else can you get the quality insight offered by harrington and busgaglia. 
18	0	i guess my cat also lost  number  pounds when she went to the vet after i have been feeding her a few times a day.  #eating #food   #workingout
19	1	 @ username @   @ username @  trading a sp for a defense-only ss? brilliant trade. 
20	1	but  @ username @  was trying to find us, and my battery died. guess how he found us? yes, that bastard wand! !!!!!
21	1	 @ username @  please do..i need the second hand embarrassment so desperatly on my phone 
22	0	i never cared for beyonce, bc i could never get a sense of who she was. her interviews lacked depth.  @ username @  tho....this girl got it.
23	1	 @ username @  time to hit the books then 
24	0	@ username @ thx number flw! flwthemusic @ username @ @ username @ we r # ele kt rik bloom * # ele kt rik fantasy * # i want  number  drift * # e lev  number  the underground *
25	1	love these cold winter mornings :grimacing_face: best feeling everrrrrrr !
26	0	amazingly is not owned by # bhp * they are going to have to shell out some decent money for it. # bhp bill it on * # south  number  *
27	0	wish she could have told me herself. @ username @ # nicole scherzinger * # one love * # my fa v * # my queen * :heavy_black_heart:️:heavy_black_heart:️
28	0	the rain has made extra extra lazy:smiling_face_with_open_mouth_and_cold_sweat:
29	0	i was doing great with this summary of my year until i got to june  number th, and the weekend of @ username @ 's birthday. # river trip * # group chat *
30	0	see, that might show up on a background check, and you would be denied its a catch  number  we have the right to self protection  @ username @ 
31	1	smh never knew something could be  number % halal....been muslim my whole life but somehow i have learned something new i guess 
32	1	a wonderful day of starting work at  number am 
33	0	i feel like whole life is about waiting waiting and waiting
34	0	 @ username @  lol :grinning_face_with_smiling_eyes:.. will let my kids know when they get up in the morning.. thanks for the tip
35	1	@ username @ you guys sure screwed this up royally. i am happy for lester, the brain trust over there sucks. # nice job * # lester to chicago *
36	0	# aussie * # gunman * # was * # on * terrorist # watch * # list * pm # says * sydney – the gunman who took  number  hostages in sydney...
37	1	twig is now  sprig — number  sec limit on new social video platform # tech talk * # editors pick * # silly vine * # tr *
38	0	 @ username @  and what will that achieve? seriously?to be fired.all the guys who had the balls to call them out are gone..
39	1	yay for another work at  number am day :neutral_face: 
40	1	physical therapy at  number  am is just what i want to be doing with my friday # i want to sleep *
41	1	omg @ username @ did not tell @ username @ he was in town :face_screaming_in_fear: # true friend *
42	1	i thought what we had was real, how could you be fine? coz i am not fine at all oh wait. fixed the caps lock ^.^ # laugh now * .o.
43	1	hahahaha!! # hypocrisy *  mt @ username @ : katie hopkins calls russell brand a bully..........:  
44	1	that moment when you have so much stuff to do but you open @ username @ ... # productivity * # tumblr *
45	0	lol! i m enjoying it:two_women_holding_hands: # talks * # crazy ness * # she never left * sleepy!! :white_smiling_face:
46	1	luv this 
47	1	: when some naturopaths sell  aromatic  herbs the way apothecaries sell noxious poisons. # natur o path apothecary * # herb poison *
48	0	@ username @ : goal of the season  number : goal  number . jon sammels # arsenal * vs # manu td * @ username @ @ username @
49	0	really, what else can a fish be besides a fish?  @ username @   @ username @   @ username @   @ username @ 
50	0	 @ username @  i think it is a safe bet it will not fit the crime.
51	1	it will be impossible for me to be late if i start to dress up right now. # studing * # university * # lazy *
52	1	when you are already running late and then your car will not start <<< # fantastic friday *
53	1	i decided to become my own boss to have more free time.. now i have no time left whatsoever. 
54	0	loyalty vs. self protection loyalty vs. self protection loyalty vs. self protection loyalty vs. self protection
55	0	american kids starting playing and now i am super missing # summer  number  k  number  * # kenny chesney *
56	0	@ username @ do not know how#monsanto # among  number  most sustainable cos in the world sure all parameters are measured#net positive?
57	0	none of the big, disruptive innovations in our lives have come out of brainstorming. -bruce nussbaum 
58	0	that way people get to understand disabilities and not stare at us funny wen we out and about#idpwd#disability
59	1	 @ username @   @ username @  shit! i better shut my stupid girly mouth because i am so concerned about what men might think of me. 
60	0	why does my tongue feel it necessary to try and touch the high speed tool my dentist has put in my mouth?
