Tweet_index	Tweet_text	Label
623944760550666241	no one ever predicted this was going to happen.   	1
623132293498941440	 @ username @  its as closely related as andrews original claim that evolution and entropy  	1
623288340964511745	i find it ironic when vegans say they love food  	1
623126845937057792	quick rt that throwing money vine i have not seen it  number  times in the last  number  seconds  	1
623307564386775040	yep, keep adding me to your # devo ps * lists.... # just saying * # info sec *	1
623963405104320512	wonderful time with customer service  @ username @     cannot add line w loyalty plan. rep could not even explain data plan options to me	1
623758936261427200	 @ username @ : but ... football.  	1
623279361773449216	so last month i lost my job and today my dad lost his.  number  is such a great year...  	1
623161397745176576	rahm has solved crime, budget & pension issues, thus he is in france's to work on trade...  @ username @   @ username @   	1
623544146075222016	and the heel on my  @ username @  shoe just broke. i love when i buy expensive shoes and they do not last  	1
623132135822630916	this girl cannot wait to shop on michigan ave. # hate shopping *	1
623342042937061376	that shitty feeling we all love so much 😊  	1
623164252086362113	 @ username @  ...says the person typing in shorthand and emoji.    @ username @   @ username @   @ username @ 	1
623282069842591744	crowded hallways are the loneliest places  	1
622933369207193600	 @ username @  i remember when i lived in downtown toronto... such an interesting place.  	1
623409820851240960	i will go for  @ username @  to say that.   	1
623923045397327872	oh wait are you even in this episode?  	1
623278254481375232	 @ username @  you say, via twitter.  	1
623074162215677952	maybe it is just me, but i am sure that is not six words....😝 # typical teacher *	1
623602886702972928	@ username @ i do not get the sense of danger, of drama, from this. # cake wars * # nintendo *	1
623836331735543808	 that i just tweeted about them 	1
623900636296441856	 @ username @  but moving the coaches from  number st to  number rd and  number rd to  number st is really working out though.  	1
623687413047656448	i just love getting anxiety at random times. its fun!  	1
623870931702824960	 @ username @  ha! is that a doritos bag we see in there?  	1
623656961347751936	 @ username @  last tweet was hashtag  	1
623523901725876224	to liberals who care so much about corporations and profits # pp sells baby parts * and are funded by the united states government	1
623712858895962112	 @ username @  it is pretty obvious  @ username @  mad he is not getting credit for ghostwriting drakes verse 😂  	1
623098709484539905	 @ username @  should really go to sleep love catching the bus to school in the morning 😎😣😴  	1
623618446790664192	 @ username @  surprisingly those with brains cannot use them!  	1
623172752833286144	 @ username @   @ username @  further evidence:  a theist totally would post that.  	1
623810883781820416	 @ username @  lol, clicked on this and it is surrounded by  @ username @  ads  	1
623531517315284993	gotta let you in on what you missed out on   😊😊😊💯	1
623130657678450688	 @ username @  pretty sure i was hating on espn, but whatever. you sure showed me! it burns! it burns!  	1
623097022183124993	pencils for pencils! via @ username @ # pencils * # cotton and steel * # handmade love * # ets y * # back to school *	1
623577108468490240	changing my band name to secrets & overalls. because that is the best thing i have ever thought of in my life. # or is it * # very serious *	1
623277157201092608	i am preeeeetttyyy sure that  respect the red light  is about traffic laws. # bike safety * # vision zero * # whatever *	1
623686597867732992	it is really great that pointless feuding between celebs gets more attention than things that actually matter. # real life * # bullshit *	1
623477583829561345	 @ username @  so you support to those people who wave pakistan flag in india.  	1
623426728447225856	one time for # insomnia * yay!	1
623510329281114112	my typing skills are terrible when i do not get enough sleep. by terrible i mean  terrobel .  	1
623132640565039104	.  @ username @  the last name he announced, dunne ( done )  	1
623556758900985856	 @ username @   @ username @   @ username @    this family is famous because one of them got a cock in her tail! oh and that murder trial!	1
623588712841146368	@ username @ watch gypsy sisters on tlc , best ever 😂😂😂 # you should be on it * # love you *	1
623521444987711489	 @ username @  yeah in  number  the best celtics team of all-time won the title. although led by an indiana man, larry bird.  	1
623155379199954944	@ username @ @ username @ @ username @ @ username @ @ username @ @ username @ thought @ username @ was dropping # ccs * but keeping @ username @	1
623798302228803584	shows how out of touch the bbc are. they had john mcternan on talking about the way forward for  @ username @  & why they are rubbish.  	1
623485536490033152	 @ username @  this is going to be awesome after giants games.  	1
623434724422201344	no big deal. in forty years time everybody will be striking nuclear deals with them and opening embassies   	1
623688694210232320	the party is not national but the spokesperson is national..    @ username @   @ username @   @ username @   	1
623281256185335812	 @ username @   @ username @   @ username @  because a well armed surfer could have shot that shark!!   	1
623159442033520640	trying to figure out how to get to ams for sail amsterdam. ticket prices are only $ number   	1
623139899760340992	i am literally so sunburnt...and regretting not untying my bathing suit top yesterday. # nice tan lines *	1
623342259660951553	i drove over this bridge a week ago.  nice to know we have a top notch rating system.   	1
623695842357211137	 @ username @  so not ironic  	1
623983689714696192	 @ username @  did you see who was batting during bagwell's grab? lj hoes!!  	1
623206271366373376	 @ username @  hurr hurr kitchen jokes are so funny!  	1
623015356202770432	 @ username @  yes, finally!!! :d i was waiting for  number p!  	1
623575719352778752	i do not know if either of them have forgotten about it (probably not), but it still makes me feel fucking fantastic. # wife of the year *	1
623606190291972097	define # hypocrite * # usa *	1
623770056825176064	now that is irony # lyrics *	1
623293207418413058	so are all cement guys dicks, or is it just because i am a girl dealing with men's work?  	1
623944005953396736	so, they finally found out! hun... for me, healthy brain is way important than being rude ;)   	1
623453777799024640	other excited day in my life  	1
623933480515317760	i am so number one # sarcastic * # sick * # love it * 😝😜😉	1
623303663117664257	i do not always respond to bots, but when i do, it is because i have something smartass to say. # keep it tight tatum *	1
623141801566801920	@ aqpk indian-occupied? according to you wht constitutes  indian ? i thought you belived india is jst amalgamtion of diff identities!  	1
623578567822086144	  i am not sure why, but this afternoon i have been more sarcastic than i have been in a loooonnnggg time	1
623520778252853248	this reg form asked just for my email…then i got this…for webinar on improving productivity! # marketing * # fail *	1
